# Location	% GC	% AT	% AG	% CT	% GT	% AC
0	35.5	64.5	34.5	65.5	45	55
500	34.2	65.8	32.1	67.9	45.5	54.5
1000	35.3	64.7	30.5	69.5	40	60
1500	35.4	64.6	33.9	66.1	37.9	62.1
2000	34.4	65.6	39.3	60.7	38.9	61.1
2500	35.9	64.1	40.7	59.3	40.8	59.2
3000	37.7	62.3	42	58	42.3	57.7
3500	33.8	66.2	40.9	59.1	40.5	59.5
4000	31.6	68.4	37.8	62.2	39.4	60.6
4500	35.1	64.9	38	62	40.7	59.3
5000	33.9	66.1	37	63	40.1	59.9
5500	33.7	66.3	38.7	61.3	38.6	61.4
6000	34.5	65.5	44.9	55.1	38	62
6500	33.8	66.2	45.8	54.2	43.2	56.8
7000	33.2	66.8	52.3	47.7	42.5	57.5
7500	34.5	65.5	46.4	53.6	36.9	63.1
8000	35.5	64.5	33.8	66.2	35.5	64.5
8500	35.4	64.6	28.5	71.5	39.1	60.9
9000	33.7	66.3	33.5	66.5	42.6	57.4
9500	32.8	67.2	43	57	46.8	53.2
10000	33.4	66.6	38.7	61.3	48.1	51.9
10500	33.6	66.4	31.9	68.1	43.5	56.5
11000	34.6	65.4	30.9	69.1	41.3	58.7
11500	34.6	65.4	32	68	39.6	60.4
12000	33	67	29.6	70.4	41.4	58.6
12500	32.9	67.1	28.5	71.5	42.6	57.4
13000	37.1	62.9	28.1	71.9	40.2	59.8
13500	36.6	63.4	31.1	68.9	36.3	63.7
14000	31.7	68.3	37.2	62.8	33.5	66.5
14500	32.9	67.1	34.9	65.1	35.2	64.8
15000	36.5	63.5	46.3	53.7	47	53
15500	38.9	61.1	64.6	35.4	54.1	45.9
16000	40.5	59.5	67.4	32.6	54.3	45.7
16500	39.7	60.3	65.9	34.1	54.8	45.2
17000	37.9	62.1	64	36	52.3	47.7
17500	35.9	64.1	60.4	39.6	51.7	48.3
18000	32.5	67.5	52.2	47.8	51.7	48.3
18500	33	67	58.3	41.7	55.1	44.9
19000	37.1	62.9	70	30	58.9	41.1
19500	37.8	62.2	70.2	29.8	57.4	42.6
20000	36.4	63.6	68.1	31.9	55.9	44.1
20500	35	65	65.6	34.4	53.8	46.2
21000	36.4	63.6	60.8	39.2	52.4	47.6
21500	35.8	64.2	54.6	45.4	54	46
22000	33.8	66.2	51.4	48.6	53.2	46.8
22500	38.6	61.4	50.8	49.2	45.8	54.2
23000	48.3	51.7	46.5	53.5	41.8	58.2
23500	50.7	49.3	41.4	58.6	45.1	54.9
24000	46.1	53.9	38.8	61.2	42.3	57.7
24500	47.2	52.8	37.2	62.8	41.4	58.6
25000	45.4	54.6	38.2	61.8	45	55
25500	46.7	53.3	39.9	60.1	44.6	55.4
26000	50.5	49.5	39.7	60.3	42.6	57.4
26500	47	53	36.5	63.5	41.5	58.5
27000	40.1	59.9	32.3	67.7	41.6	58.4
27500	38.3	61.7	31.3	68.7	40	60
28000	40.6	59.4	30.9	69.1	43.1	56.9
28500	36.6	63.4	30.5	69.5	44.9	55.1
29000	33.9	66.1	34	66	41.9	58.1
29500	34.6	65.4	34.4	65.6	41.6	58.4
30000	34.2	65.8	35.5	64.5	43.9	56.1
30500	33.3	66.7	52.3	47.7	49.8	50.2
31000	32.1	67.9	64.8	35.2	51.3	48.7
31500	31.8	68.2	64.8	35.2	49.2	50.8
32000	32.9	67.1	63	37	50.3	49.7
32500	34.4	65.6	60.8	39.2	52.2	47.8
33000	35.5	64.5	61	39	54.7	45.3
33500	37.3	62.7	60.2	39.8	57.3	42.7
34000	39	61	61.4	38.6	57	43
34500	37.3	62.7	62.9	37.1	53.4	46.6
35000	35.7	64.3	62.6	37.4	50.9	49.1
35500	35.8	64.2	62.5	37.5	50.7	49.3
36000	36.1	63.9	62.7	37.3	50.6	49.4
36500	34.3	65.7	61.2	38.8	51.5	48.5
37000	31	69	61.6	38.4	49.8	50.2
37500	30.4	69.6	62	38	50.2	49.8
38000	33.4	66.6	62.4	37.6	52.2	47.8
38500	33.8	66.2	62.7	37.3	50.7	49.3
39000	30.6	69.4	62	38	52.6	47.4
39500	27.3	72.7	57.5	42.5	54.6	45.4
40000	27.4	72.6	47.3	52.7	54.3	45.7
40500	27	73	44.1	55.9	52.7	47.3
41000	26.4	73.6	49.1	50.9	49.1	50.9
41500	30.3	69.7	50.5	49.5	50	50
42000	34.2	65.8	47.6	52.4	50.6	49.4
42500	35	65	45.4	54.6	46	54
43000	36.1	63.9	41	59	44.9	55.1
43500	37.4	62.6	41.7	58.3	45.3	54.7
44000	35.3	64.7	42.4	57.6	44.1	55.9
44500	38.3	61.7	37.7	62.3	42.4	57.6
45000	41.1	58.9	37.9	62.1	42.6	57.4
45500	41.3	58.7	37.6	62.4	45.9	54.1
46000	41.5	58.5	36.1	63.9	45.8	54.2
46500	38.7	61.3	38.3	61.7	42.2	57.8
47000	39.6	60.4	41.1	58.9	42.1	57.9
47500	38	62	47.6	52.4	39.8	60.2
48000	38.3	61.7	47.4	52.6	40.9	59.1
48500	41.6	58.4	44.8	55.2	44.4	55.6
49000	41.6	58.4	44.3	55.7	44.5	55.5
49500	42.4	57.6	47.1	52.9	49.1	50.9
50000	41.8	58.2	56.1	43.9	50.1	49.9
50500	40	60	56.7	43.3	50.9	49.1
51000	39	61	54.7	45.3	52.9	47.1
51500	38.1	61.9	54.2	45.8	51.1	48.9
