# BUSCO version is: 5.5.0 
# The lineage dataset is: proteobacteria_odb10 (Creation date: 2021-02-23, number of genomes: 2337, number of BUSCOs: 219)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2756at1224	Complete	Spiro2_09775	2093.2	1359	https://www.orthodb.org/v10?query=2756at1224	DNA-directed RNA polymerase subunit beta'
3077at1224	Complete	Spiro2_09780	2043.5	1347	https://www.orthodb.org/v10?query=3077at1224	DNA-directed RNA polymerase subunit beta
10088at1224	Missing
13856at1224	Missing
21720at1224	Complete	Spiro2_00190	759.4	613	https://www.orthodb.org/v10?query=21720at1224	glutamine--fructose-6-phosphate aminotransferase
22904at1224	Complete	Spiro2_10330	179.6	411	https://www.orthodb.org/v10?query=22904at1224	phenylalanine--tRNA ligase subunit beta
26806at1224	Complete	Spiro2_08375	867.2	663	https://www.orthodb.org/v10?query=26806at1224	Protein translocase subunit SecA
28111at1224	Complete	Spiro2_04230	373.4	453	https://www.orthodb.org/v10?query=28111at1224	DNA mismatch repair protein MutS
34956at1224	Complete	Spiro2_03670	532.1	461	https://www.orthodb.org/v10?query=34956at1224	threonine--tRNA ligase
39905at1224	Complete	Spiro2_00065	331.3	249	https://www.orthodb.org/v10?query=39905at1224	acetyl-CoA carboxylase carboxyltransferase subunit alpha
44708at1224	Complete	Spiro2_05600	684.4	484	https://www.orthodb.org/v10?query=44708at1224	excinuclease ABC subunit B
47742at1224	Complete	Spiro2_01080	701.7	554	https://www.orthodb.org/v10?query=47742at1224	polyribonucleotide nucleotidyltransferase
53783at1224	Missing
71864at1224	Complete	Spiro2_07515	525.5	412	https://www.orthodb.org/v10?query=71864at1224	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
72371at1224	Missing
72514at1224	Complete	Spiro2_06405	598.3	474	https://www.orthodb.org/v10?query=72514at1224	elongation factor 4
77335at1224	Complete	Spiro2_09820	168.8	264	https://www.orthodb.org/v10?query=77335at1224	excinuclease ABC subunit C
81573at1224	Missing
