##[["FCS genome report", 2, 1], {"git-rev": "v0.5.0+branch--HEAD", "run-date": "Mon Mar 18 15:02:06 2024", "db": {"build-date": "2023-01-24", "seqs": 3025824, "Gbp": 709.264}, "run-info": {"agg-cvg": 0.245488, "asserted-div": "anml:crustaceans", "inferred-primary-divs": ["anml:crustaceans", "anml:insects"], "corrected-primary-divs": ["anml:crustaceans", "anml:insects"]}}]
#seq_id	start_pos	end_pos	seq_len	action	div	agg_cont_cov	top_tax_name
ptg000046l	1	88201	88201	EXCLUDE	prok:b-proteobacteria	95	Hydrogenophaga palleronii
ptg000048l	1	65476	65476	REVIEW	prok:b-proteobacteria	37	Limnohabitans parvus
ptg000115l	1	232044	232044	EXCLUDE	prok:b-proteobacteria	89	Hydrogenophaga aromaticivorans
ptg000116l	1	51690	51690	EXCLUDE	prok:b-proteobacteria	91	Limnohabitans parvus
ptg000117l	1	37321	37321	EXCLUDE	prok:b-proteobacteria	94	Hydrogenophaga aromaticivorans
ptg000128l	1	106141	106141	EXCLUDE	prok:b-proteobacteria	91	Hydrogenophaga aromaticivorans
ptg000131l	1	20380	20380	EXCLUDE	prok:b-proteobacteria	100	Hydrogenophaga aromaticivorans
ptg000132l	1	90345	90345	EXCLUDE	prok:b-proteobacteria	94	Hydrogenophaga taeniospiralis
ptg000133l	1	44641	44641	EXCLUDE	prok:b-proteobacteria	69	Limnohabitans sp.
ptg000134l	1	120824	120824	EXCLUDE	prok:b-proteobacteria	82	Limnohabitans planktonicus
ptg000135l	1	99508	99508	EXCLUDE	prok:b-proteobacteria	77	Hydrogenophaga taeniospiralis
ptg000141l	1	94185	94185	EXCLUDE	prok:CFB group bacteria	93	Flavobacterium celericrescens
ptg000142l	1	66226	66226	EXCLUDE	prok:CFB group bacteria	100	Flavobacterium celericrescens
ptg000149l	1	63047	63047	EXCLUDE	prok:b-proteobacteria	98	Hydrogenophaga pseudoflava
ptg000150l	1	27158	27158	EXCLUDE	prok:b-proteobacteria	100	Hydrogenophaga aromaticivorans
ptg000151l	1	73805	73805	EXCLUDE	prok:b-proteobacteria	87	Hydrogenophaga taeniospiralis
ptg000152l	1	44029	44029	EXCLUDE	prok:b-proteobacteria	79	Hydrogenophaga taeniospiralis
ptg000155l	1	75628	75628	EXCLUDE	prok:CFB group bacteria	92	Flavobacterium celericrescens
ptg000157l	1	101998	101998	EXCLUDE	prok:b-proteobacteria	77	Limnohabitans sp. Rim8
ptg000158l	1	106601	106601	REVIEW	prok:b-proteobacteria	52	Hydrogenophaga palleronii
ptg000160l	1	46011	46011	EXCLUDE	prok:b-proteobacteria	87	Hydrogenophaga flava
ptg000161l	1	65013	65013	EXCLUDE	prok:CFB group bacteria	98	Flavobacterium cheniae
ptg000162l	1	27475	27475	EXCLUDE	prok:b-proteobacteria	64	Hydrogenophaga taeniospiralis
