Contig	Start	End	Strand	Pos
contig_1	560	751	1	1
contig_1	693	1745	1	2
contig_1	1785	4235	1	3
contig_1	4266	6764	1	4
contig_1	6776	8641	1	5
contig_1	8655	9311	1	6
contig_1	9333	10172	1	7
contig_1	10182	11675	-1	8
contig_1	11687	12895	-1	9
contig_1	12892	13338	-1	10
contig_1	13354	14070	-1	11
contig_1	14095	14808	-1	12
contig_1	14818	15888	-1	13
contig_1	16013	17176	1	14
contig_1	17192	18685	1	15
contig_1	18740	19468	1	16
contig_1	19443	20294	1	17
contig_1	20307	20615	-1	18
contig_1	20871	21845	-1	19
contig_1	21860	22312	-1	20
contig_1	22340	23527	-1	21
contig_1	23894	26074	-1	22
contig_1	26289	26915	1	23
contig_1	26929	27786	-1	24
contig_1	27811	28419	-1	25
contig_1	28451	29377	-1	26
contig_1	29364	30404	-1	27
contig_1	30401	32032	-1	28
contig_1	32065	33108	-1	29
contig_1	33116	33268	-1	30
contig_1	33268	33507	-1	31
contig_1	33537	34628	-1	32
contig_1	35132	35590	1	33
contig_1	35897	36706	1	34
contig_1	36716	38566	1	35
contig_1	38732	39106	1	36
contig_1	39145	39771	1	37
contig_1	39788	40261	1	38
contig_1	40262	42514	-1	39
contig_1	42664	43995	1	40
contig_1	44013	44915	-1	41
contig_1	46967	47791	1	42
contig_1	47995	48996	1	43
contig_1	49028	49594	1	44
contig_1	49606	51132	1	45
contig_1	51116	52054	1	46
contig_1	52076	53491	1	47
contig_1	53509	53964	1	48
contig_1	54092	55522	1	49
contig_1	55571	56533	1	50
contig_1	56516	58294	-1	51
contig_1	58336	59643	-1	52
contig_1	59748	60848	-1	53
contig_1	60835	62244	-1	54
contig_1	62271	63455	-1	55
contig_1	63442	65040	-1	56
contig_1	65053	66168	-1	57
contig_1	66165	67850	-1	58
contig_1	67871	69715	-1	59
contig_1	69728	70027	-1	60
contig_1	70031	71104	-1	61
contig_1	71296	72021	1	62
contig_1	72026	73027	-1	63
contig_1	73037	74134	-1	64
contig_1	74303	76714	1	65
contig_1	76873	77979	1	66
contig_1	78228	78728	-1	67
contig_1	78752	79840	-1	68
contig_1	79935	80546	-1	69
contig_1	80549	81523	-1	70
contig_1	81759	82721	-1	71
contig_1	82718	83545	-1	72
contig_1	83545	84639	-1	73
contig_1	84643	85125	-1	74
contig_1	85129	86967	-1	75
contig_1	87133	88071	1	76
contig_1	88157	90088	1	77
contig_1	90085	90552	-1	78
contig_1	90775	91830	1	79
contig_1	91833	92375	-1	80
contig_1	92454	92615	-1	81
contig_1	93083	94759	-1	82
contig_1	94824	95801	1	83
contig_1	95920	97152	1	84
contig_1	97263	98705	-1	85
contig_1	99741	100874	-1	86
contig_1	100871	101392	-1	87
contig_1	101475	102272	-1	88
contig_1	102523	103548	1	89
contig_1	103550	103744	1	90
contig_1	103763	104758	1	91
contig_1	104771	105781	1	92
contig_1	105788	106768	1	93
contig_1	106735	109041	1	94
contig_1	109038	109916	-1	95
contig_1	109930	110949	-1	96
contig_1	111274	113445	1	97
contig_1	113442	114845	1	98
contig_1	114851	115981	1	99
contig_1	116205	116606	1	100
contig_1	116750	117220	1	101
contig_1	117237	117578	1	102
contig_1	117613	118023	1	103
contig_1	118138	118563	1	104
contig_1	118600	118926	1	105
contig_1	119023	119967	1	106
contig_1	119994	120296	1	107
contig_1	120302	122053	1	108
contig_1	122063	122446	1	109
contig_1	122447	122770	1	110
contig_1	122786	124555	-1	111
contig_1	124770	125912	1	112
contig_1	125942	126445	1	113
contig_1	126448	126900	1	114
contig_1	126918	127655	1	115
contig_1	127673	128062	1	116
contig_1	128092	130971	-1	117
contig_1	131054	132595	-1	118
