# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* Spiro2_00010        K02338   53.57  172.4   2.7e-51 DNA polymerase III subunit beta [EC:2.7.7.7]
* Spiro2_00015        K02470  979.23 1050.1         0 DNA gyrase subunit B [EC:5.6.2.2]
* Spiro2_00020        K02469 1064.07 1282.8         0 DNA gyrase subunit A [EC:5.6.2.2]
* Spiro2_00030        K00616  137.07  201.5   4.6e-60 transaldolase [EC:2.2.1.2]
* Spiro2_00035        K01519   52.80   97.3   1.7e-28 XTP/dITP diphosphohydrolase [EC:3.6.1.66]
* Spiro2_00040        K03641  131.70  239.5   1.2e-71 TolB protein
* Spiro2_00050        K03559   27.47  125.0   4.7e-37 biopolymer transport protein ExbD
* Spiro2_00055        K03561   54.67  163.1   2.1e-48 biopolymer transport protein ExbB
* Spiro2_00060        K00945   75.67  261.0   2.4e-78 CMP/dCMP kinase [EC:2.7.4.25]
* Spiro2_00065        K01962  422.77  535.3    4e-161 acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
* Spiro2_00075        K02527  159.43  184.4   4.4e-55 3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]
* Spiro2_00090        K05527   71.63  104.1   1.1e-30 BolA family transcriptional regulator, general stress-responsive regulator
* Spiro2_00130        K00798   39.60  216.3   5.9e-65 cob(I)alamin adenosyltransferase [EC:2.5.1.17]
* Spiro2_00135        K23536  198.73  330.5   1.5e-99 general nucleoside transport system permease protein
* Spiro2_00140        K23535  205.70  347.1  1.6e-104 general nucleoside transport system permease protein
* Spiro2_00145        K23537  595.23  718.8  1.1e-216 general nucleoside transport system ATP-binding protein
* Spiro2_00150        K07335  105.90  320.6   2.8e-96 basic membrane protein A and related proteins
* Spiro2_00165        K07335  105.90  312.9   6.1e-94 basic membrane protein A and related proteins
* Spiro2_00180        K11991  170.17  238.7   1.8e-71 tRNA(adenine34) deaminase [EC:3.5.4.33]
* Spiro2_00190        K00820  181.60  788.1  1.2e-237 glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]
* Spiro2_00205        K01734   70.27  218.9   1.2e-65 methylglyoxal synthase [EC:4.2.3.3]
* Spiro2_00210        K07180  282.87  464.8  6.1e-140 serine protein kinase
* Spiro2_00215        K07175  265.97  602.7  1.2e-181 PhoH-like ATPase
* Spiro2_00220        K03497   54.23  228.4     3e-68 ParB family transcriptional regulator, chromosome partitioning protein
* Spiro2_00230        K02109   43.70   50.4   3.5e-14 F-type H+-transporting ATPase subunit b
* Spiro2_00235        K02113  111.10  114.9   6.3e-34 F-type H+-transporting ATPase subunit delta
* Spiro2_00240        K02111  427.73  907.4  1.2e-273 F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]
* Spiro2_00245        K02115  247.10  310.1   2.7e-93 F-type H+-transporting ATPase subunit gamma
* Spiro2_00250        K02112  496.07  854.7  4.2e-258 F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]
* Spiro2_00255        K02114   94.87  128.2     5e-38 F-type H+-transporting ATPase subunit epsilon
* Spiro2_00270        K03531  234.53  567.6  6.4e-171 cell division protein FtsZ
* Spiro2_00275        K03590  121.30  343.5  3.1e-103 cell division protein FtsA
* Spiro2_00285        K01924  375.47  566.3  1.1e-170 UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]
* Spiro2_00290        K03588  363.47  366.7  3.1e-110 cell division protein FtsW
