# Location	% GC	% AT	% AG	% CT	% GT	% AC
0	24.3	75.7	50.8	49.2	24.9	75.1
500	28.6	71.4	46.7	53.3	41.3	58.7
1000	29.7	70.3	38.8	61.2	63.1	36.9
1500	27.9	72.1	35.1	64.9	66.4	33.6
2000	30.9	69.1	36.1	63.9	63.8	36.2
2500	32.1	67.9	39.4	60.6	61.9	38.1
3000	32.1	67.9	40.7	59.3	60.4	39.6
3500	32.1	67.9	41.9	58.1	61.2	38.8
4000	30.8	69.2	43.7	56.3	62.5	37.5
4500	32.2	67.8	39.8	60.2	63.6	36.4
5000	32.9	67.1	35.7	64.3	64.4	35.6
5500	32.3	67.7	37.8	62.2	62.7	37.3
6000	33.1	66.9	41.1	58.9	61.4	38.6
6500	33	67	42.2	57.8	62	38
7000	35.2	64.8	42.8	57.2	61.2	38.8
7500	34.5	65.5	46	54	58.3	41.7
8000	32.3	67.7	46.2	53.8	57.3	42.7
8500	30.2	69.8	39.9	60.1	62.5	37.5
9000	28.4	71.6	35.9	64.1	65.7	34.3
9500	30.8	69.2	35.9	64.1	64.5	35.5
10000	32.3	67.7	38.3	61.7	63.2	36.8
10500	32.3	67.7	40.2	59.8	60.7	39.3
11000	32.1	67.9	42.1	57.9	60.4	39.6
11500	30.4	69.6	44.4	55.6	62	38
12000	31.7	68.3	40.6	59.4	63.9	36.1
12500	33.5	66.5	34.8	65.2	64.9	35.1
13000	32.9	67.1	37.5	62.5	62.4	37.6
13500	32.4	67.6	40.7	59.3	61.7	38.3
14000	32.1	67.9	41.6	58.4	62.1	37.9
14500	34.7	65.3	43.2	56.8	60.9	39.1
15000	34.4	65.6	46.2	53.8	54.8	45.2
15500	36.9	63.1	45	55	54.9	45.1
16000	38.9	61.1	40	60	59.1	40.9
16500	37.3	62.7	41.2	58.8	56.5	43.5
17000	40.4	59.6	40.6	59.4	55.6	44.4
17500	41.4	58.6	39.1	60.9	56.7	43.3
18000	40.1	59.9	41.4	58.6	56.9	43.1
18500	40.1	59.9	42.6	57.4	56.9	43.1
19000	39.1	60.9	44	56	55.3	44.7
19500	42	58	40	60	49.6	50.4
