# Location	% GC	% AT	% AG	% CT	% GT	% AC
0	36	64	56.3	43.7	45.5	54.5
500	29	71	55.3	44.7	46.5	53.5
1000	24.9	75.1	53.3	46.7	47	53
1500	29.4	70.6	57.1	42.9	45.3	54.7
2000	32.6	67.4	56.9	43.1	45.7	54.3
2500	33.2	66.8	58.3	41.7	44.5	55.5
3000	33.5	66.5	58.3	41.7	44	56
3500	32.6	67.4	57.3	42.7	42.3	57.7
4000	31.7	68.3	58.1	41.9	44.2	55.8
4500	31.3	68.7	62.4	37.6	43.1	56.9
5000	30.6	69.4	62.8	37.2	42.4	57.6
5500	29.8	70.2	59.3	40.7	46.9	53.1
6000	28.2	71.8	59.9	40.1	42.5	57.5
6500	25.5	74.5	60.3	39.7	38.4	61.6
7000	24.7	75.3	58.7	41.3	40.4	59.6
7500	25.6	74.4	59.6	40.4	42.6	57.4
8000	24.3	75.7	62.3	37.7	42.2	57.8
8500	26	74	65.4	34.6	46.2	53.8
9000	28.3	71.7	68	32	48.1	51.9
9500	27.8	72.2	65.8	34.2	48.4	51.6
10000	28.1	71.9	59.8	40.2	50.1	49.9
10500	29.5	70.5	53.2	46.8	49.7	50.3
11000	28.3	71.7	41.9	58.1	57.8	42.2
11500	30	70	33	67	57.6	42.4
12000	32.6	67.4	34.1	65.9	54.9	45.1
12500	30	70	43.1	56.9	57.7	42.3
13000	27.5	72.5	50.2	49.8	52.3	47.7
13500	27.8	72.2	51.8	48.2	51.4	48.6
14000	27.4	72.6	48.4	51.6	54.4	45.6
14500	27.7	72.3	49.2	50.8	51.1	48.9
15000	27.8	72.2	59.7	40.3	47.5	52.5
15500	26.3	73.7	64.5	35.5	44	56
16000	27.1	72.9	58.8	41.2	44.7	55.3
16500	26.5	73.5	57.4	42.6	45.7	54.3
17000	25.4	74.6	62.6	37.4	44.6	55.4
17500	23.7	76.3	58.6	41.4	49.9	50.1
18000	24	76	59	41	49.4	50.6
18500	25.6	74.4	62.6	37.4	48	52
19000	25.2	74.8	59.8	40.2	51.2	48.8
19500	27.4	72.6	54.7	45.3	51.7	48.3
20000	27.8	72.2	49	51	51	49
20500	26	74	42.9	57.1	50.9	49.1
21000	27	73	52.4	47.6	47	53
21500	30.3	69.7	51.2	48.8	51.3	48.7
22000	35.9	64.1	40.7	59.3	57.8	42.2
22500	37.4	62.6	44.2	55.8	53.4	46.6
23000	36.2	63.8	41.7	58.3	53.7	46.3
23500	31.4	68.6	47	53	52.6	47.4
24000	26.9	73.1	48.1	51.9	49.6	50.4
24500	26.9	73.1	46.8	53.2	51.1	48.9
25000	26.9	73.1	50.1	49.9	51	49
25500	29.2	70.8	47.8	52.2	49.8	50.2
26000	30.2	69.8	43.4	56.6	52.6	47.4
26500	30	70	42.9	57.1	54.7	45.3
27000	29.5	70.5	42.5	57.5	56	44
27500	27.1	72.9	45.1	54.9	54.2	45.8
28000	29.3	70.7	52.5	47.5	48.2	51.8
28500	32.7	67.3	57.1	42.9	46.8	53.2
29000	31.2	68.8	55.8	44.2	47.8	52.2
29500	30.1	69.9	53.5	46.5	47.2	52.8
30000	29.7	70.3	52.5	47.5	45.8	54.2
30500	29.7	70.3	52.6	47.4	46.7	53.3
31000	30.8	69.2	59.6	40.4	47.2	52.8
31500	31.5	68.5	60.6	39.4	46.5	53.5
32000	31.2	68.8	60	40	45.4	54.6
32500	28.8	71.2	64.3	35.7	44.9	55.1
33000	27.3	72.7	64.6	35.4	45.1	54.9
33500	28.7	71.3	61.8	38.2	48.9	51.1
34000	32	68	55	45	52	48
34500	31.4	68.6	46.6	53.4	52	48
35000	28.2	71.8	45.9	54.1	50.7	49.3
35500	27.2	72.8	51.5	48.5	47.1	52.9
36000	25	75	51.9	48.1	46.1	53.9
36500	27.5	72.5	55.3	44.7	45.4	54.6
37000	31.7	68.3	61.7	38.3	43.6	56.4
37500	31.7	68.3	55.4	44.6	48.9	51.1
38000	34.3	65.7	50.4	49.6	54.1	45.9
38500	34	66	52.3	47.7	53.5	46.5
39000	27.4	72.6	54.6	45.4	49.2	50.8
39500	23.4	76.6	53.6	46.4	48.4	51.6
40000	24.2	75.8	49.9	50.1	52.5	47.5
40500	25	75	49.1	50.9	50.1	49.9
41000	30	70	53.6	46.4	46.6	53.4
41500	29.6	70.4	54.6	45.4	46.8	53.2
42000	26.7	73.3	43.9	56.1	49.4	50.6
42500	29.8	70.2	42.9	57.1	50.5	49.5
43000	29.4	70.6	41.6	58.4	50.8	49.2
43500	29.6	70.4	40.5	59.5	52.5	47.5
44000	30.8	69.2	50.6	49.4	51.6	48.4
44500	28.1	71.9	51.9	48.1	49.8	50.2
45000	28	72	45.2	54.8	54.6	45.4
45500	29.5	70.5	40.5	59.5	60.4	39.6
46000	28.9	71.1	40.4	59.6	62.3	37.7
46500	28.3	71.7	47.5	52.5	57	43
47000	26.4	73.6	54.2	45.8	49.4	50.6
47500	29.1	70.9	54.9	45.1	47.4	52.6
48000	33.9	66.1	54.3	45.7	49.4	50.6
48500	36.4	63.6	54.8	45.2	52.6	47.4
49000	36.9	63.1	58.7	41.3	50.2	49.8
49500	35	65	59.5	40.5	48.1	51.9
50000	35.9	64.1	56.9	43.1	51.4	48.6
50500	32.3	67.7	52.3	47.7	52.2	47.8
51000	27.5	72.5	47	53	52.9	47.1
51500	28.5	71.5	48.1	51.9	51	49
52000	29.1	70.9	53.7	46.3	46	54
52500	28.5	71.5	57.2	42.8	45.7	54.3
53000	27.2	72.8	59.1	40.9	44.7	55.3
53500	27.1	72.9	59.5	40.5	43.6	56.4
54000	28.2	71.8	58.2	41.8	46.2	53.8
54500	27.7	72.3	57.3	42.7	47.6	52.4
55000	26	74	55.1	44.9	48.5	51.5
55500	31.8	68.2	50.3	49.7	49.1	50.9
56000	33.3	66.7	45.7	54.3	50.8	49.2
56500	28.1	71.9	44.6	55.4	53.3	46.7
57000	26.8	73.2	46.5	53.5	50.5	49.5
57500	28.3	71.7	53.7	46.3	41.2	58.8
58000	29	71	60.1	39.9	36.5	63.5
58500	29.2	70.8	59.5	40.5	41.1	58.9
59000	28.2	71.8	53.9	46.1	46.7	53.3
59500	28.7	71.3	47	53	49.1	50.9
60000	30.7	69.3	49.6	50.4	48.7	51.3
60500	29.4	70.6	60.1	39.9	48.1	51.9
61000	29.7	70.3	58.7	41.3	48.8	51.2
61500	29.5	70.5	59	41	49.1	50.9
62000	26.6	73.4	54.8	45.2	51	49
62500	28.9	71.1	43.6	56.4	53.9	46.1
63000	29.4	70.6	47	53	52.6	47.4
63500	25.6	74.4	51.2	48.8	48.8	51.2
64000	24.9	75.1	50.2	49.8	48.1	51.9
64500	23.3	76.7	45.7	54.3	51.8	48.2
