# Location	% GC	% AT	% AG	% CT	% GT	% AC
0	16.7	83.3	51	49	49.7	50.3
500	15.6	84.4	54.1	45.9	46.9	53.1
1000	17.2	82.8	56.5	43.5	42.3	57.7
1500	17.7	82.3	51.4	48.6	46.5	53.5
2000	17.1	82.9	48.7	51.3	52.2	47.8
2500	17	83	49.7	50.3	49.7	50.3
3000	15.8	84.2	51.3	48.7	48.1	51.9
3500	17	83	57.6	42.4	42.6	57.4
4000	16.7	83.3	55	45	44.3	55.7
4500	16.9	83.1	48.6	51.4	50.9	49.1
5000	17.3	82.7	50	50	49.3	50.7
5500	15.9	84.1	51.7	48.3	47.4	52.6
6000	15.4	84.6	56.2	43.8	46.2	53.8
6500	16.9	83.1	56.4	43.6	42.9	57.1
7000	17.4	82.6	50.3	49.7	46.3	53.7
7500	16.5	83.5	48.2	51.8	52.3	47.7
8000	16.9	83.1	49	51	50.7	49.3
8500	16.4	83.6	54.5	45.5	46.3	53.7
9000	17.2	82.8	58.3	41.7	41.3	58.7
9500	17	83	51.9	48.1	46.3	53.7
10000	17	83	47.9	52.1	52.1	47.9
10500	17.3	82.7	50.1	49.9	49.2	50.8
11000	15.6	84.4	51.4	48.6	47.8	52.2
11500	17.1	82.9	56.9	43.1	44	56
12000	17.2	82.8	55.1	44.9	44.9	55.1
12500	16.3	83.7	49.3	50.7	49.2	50.8
13000	17.2	82.8	50.4	49.6	49.8	50.2
13500	16.3	83.7	51.5	48.5	48.2	51.8
14000	15.2	84.8	55.1	44.9	46.5	53.5
14500	17.3	82.7	55.8	44.2	43.1	56.9
15000	18	82	51.4	48.6	46.2	53.8
15500	16.9	83.1	47.9	52.1	52.8	47.2
16000	17.1	82.9	49.4	50.6	49.5	50.5
16500	15.7	84.3	54.6	45.4	45.9	54.1
17000	16.9	83.1	57.6	42.4	42.3	57.7
17500	17.1	82.9	52.3	47.7	46	54
18000	17.1	82.9	47.4	52.6	52.3	47.7
18500	17	83	50	50	49.6	50.4
19000	15.5	84.5	52.8	47.2	46.7	53.3
19500	16	84	57.1	42.9	44.9	55.1
20000	17.5	82.5	54.2	45.8	45.3	54.7
20500	17	83	48.6	51.4	48	52
21000	16.9	83.1	50.4	49.6	50.1	49.9
21500	16.9	83.1	51.7	48.3	49	51
22000	15.5	84.5	54.6	45.4	46.5	53.5
22500	17.7	82.3	56.2	43.8	42.5	57.5
23000	17.9	82.1	51.7	48.3	46	54
23500	17.1	82.9	48.5	51.5	52.2	47.8
24000	17.5	82.5	48.6	51.4	50.7	49.3
24500	16.3	83.7	51.5	48.5	49	51
25000	17.2	82.8	57.9	42.1	43.1	56.9
25500	17.2	82.8	54.4	45.6	44.8	55.2
26000	17	83	48.2	51.8	51.8	48.2
26500	17.9	82.1	49.8	50.2	50.7	49.3
27000	17.1	82.9	52	48	48.3	51.7
27500	15.5	84.5	55.9	44.1	46.4	53.6
28000	16.9	83.1	53.7	46.3	45.2	54.8
28500	16.7	83.3	47.9	52.1	48.6	51.4
29000	16.5	83.5	49.3	50.7	51.8	48.2
29500	18.4	81.6	50.3	49.7	50.7	49.3
30000	15.9	84.1	53	47	47.3	52.7
30500	16.9	83.1	56.2	43.8	42.5	57.5
31000	17.3	82.7	50.2	49.8	48.1	51.9
31500	16.8	83.2	46.6	53.4	53.4	46.6
32000	18.2	81.8	49	51	49.6	50.4
32500	16.9	83.1	51.2	48.8	48.1	51.9
33000	18.2	81.8	56	44	44	56
33500	17.6	82.4	54	46	45	55
34000	15.8	84.2	48.2	51.8	51.2	48.8
34500	16.4	83.6	49.3	50.7	50.1	49.9
35000	16.5	83.5	51.9	48.1	48.2	51.8
35500	16.1	83.9	55.7	44.3	47.4	52.6
36000	17.7	82.3	54.6	45.4	44.5	55.5
36500	16.9	83.1	48.3	51.7	48.2	51.8
37000	15.9	84.1	47.2	52.8	53.3	46.7
37500	17.8	82.2	49.4	50.6	50.6	49.4
38000	18.1	81.9	54.8	45.2	45.5	54.5
38500	18.4	81.6	59	41	43	57
39000	23.3	76.7	56.7	43.3	45.8	54.2
39500	28.8	71.2	51.2	48.8	51.4	48.6
40000	23.8	76.2	47.4	52.6	50.2	49.8
40500	17	83	47.6	52.4	49.8	50.2
41000	16.4	83.6	49.4	50.6	51.6	48.4
41500	17	83	51.2	48.8	49.2	50.8
42000	15.8	84.2	53.1	46.9	48.3	51.7
42500	18.3	81.7	47.4	52.6	50.9	49.1
43000	27	73	45.4	54.6	52.8	47.2
43500	26.2	73.8	48.2	51.8	52.8	47.2
44000	22	78	44.5	55.5	53.7	46.3
44500	22.9	77.1	38.9	61.1	58.8	41.2
