Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
contig_1	contig_1@7	462045	463106	False	20%	NA	III-A	4.0	['Csm2gr11_1_CAS-III-A']	[391]	['2.90e-04']	[0.314]	[0.49]	-1	NA
contig_1	contig_1@25	1528601	1529104	False	25%	NA	III-F	4.0	['SSgr11_0_CAS-III-F']	[1316]	['4.90e-04']	[0.649]	[0.533]	1	NA
contig_1	contig_1@37	2071527	2072546	False	0%	0%	I-A	0.0	['PD_DExK_0_CAS-I-II-III-IV-V-VI']	[1815]	['5.30e-54']	[0.738]	[0.962]	NA	NA
contig_1	contig_1@15	1017261	1018010	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[889]	['3.80e-05']	[0.588]	[0.5]	NA	NA
contig_1	contig_1@13	918776	919528	False	0%	NA	VI-B1	2.0	['tm_4_0_CAS-VI-B']	[809]	['1.40e-03']	[0.335]	[0.369]	NA	NA
contig_1	contig_1@46	2780634	2781377	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2475]	['5.30e-03']	[0.383]	[0.317]	NA	NA
contig_1	contig_1@35	2037538	2038002	False	0%	NA	III-A	3.0	['Csx21_1_CAS-III-A']	[1781]	['5.10e-03']	[0.426]	[0.635]	NA	NA
contig_1	contig_1@23	1411857	1412597	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[1218]	['6.00e-09']	[0.506]	[0.412]	NA	NA
contig_1	contig_1@17	1165596	1167389	False	14%	0%	I-A	2.0	['Cas3_0_CAS-I']	[1011]	['1.30e-10']	[0.368]	[0.612]	-1	NA
contig_1	contig_1@45	2477135	2482531	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III', 'AbiEii_0_CAS-III']	[2197, 2200]	['3.80e-06', '7.90e-04']	[0.302, 0.454]	[0.352, 0.528]	NA	NA
