Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	contig_1_12	238	284	0.00064	16.5	14095	14808	contig_1	12	0.35714285714285715	0.30985915492957744	-1
Csn2_10_CAS-II-A	contig_1_28	544	321	0.0054	13.1	30401	32032	contig_1	28	0.1323529411764706	0.2118380062305296	-1
AbiEii_0_CAS-III	contig_1_39	751	284	0.0024	14.6	40262	42514	contig_1	39	0.12117177097203728	0.3028169014084507	-1
RecD_0_IVD	contig_1_40	444	763	0.0025	13.1	42664	43995	contig_1	40	0.1554054054054054	0.08781127129750983	1
CysH_0_IVB	contig_1_73	365	249	0.0058	13.5	83545	84639	contig_1	73	0.1095890410958904	0.14859437751004015	-1
DEDDh_0_CAS-I-II-III-IV-V-VI	contig_1_77	644	160	3.7e-42	141.4	88157	90088	contig_1	77	0.2422360248447205	0.99375	1
Cas5_6_CAS-I-B	contig_1_90	65	272	0.0097	12.4	103550	103744	contig_1	90	0.4307692307692308	0.10294117647058823	1
Cmr5gr11_3_CAS-III-B	contig_1_96	340	119	0.01	13.4	109930	110949	contig_1	96	0.19411764705882353	0.42857142857142855	-1
Cmr5gr11_1_CAS-III-C	contig_1_103	137	180	0.0031	14.6	117613	118023	contig_1	103	0.7226277372262774	0.5388888888888889	1
CorA_1_CAS-III-B	contig_1_103	137	125	0.045	10.8	117613	118023	contig_1	103	0.5182481751824818	0.384	1
Mem_DnaJ_0_CAS-III-AM	contig_1_106	315	284	0.0057	13.2	119023	119967	contig_1	106	0.15873015873015872	0.1936619718309859	1
Cas12f1_0_CAS-V-F	contig_1_184	389	512	9.8e-08	28.4	211579	212745	contig_1	184	0.5629820051413882	0.453125	-1
Cas12f1_2_CAS-V-F	contig_1_184	389	429	9.2e-15	51.7	211579	212745	contig_1	184	0.8174807197943444	0.7505827505827506	-1
Cas12f2_0_CAS-V-F	contig_1_184	389	517	3.3e-26	89.1	211579	212745	contig_1	184	0.5681233933161953	0.4526112185686654	-1
Cas12f2_1_CAS-V-F	contig_1_184	389	422	1.3e-42	143.5	211579	212745	contig_1	184	0.7480719794344473	0.7156398104265402	-1
Cas12f2_2_CAS-V-F	contig_1_184	389	493	2.8000000000000002e-28	96.0	211579	212745	contig_1	184	0.5475578406169666	0.4726166328600406	-1
Cas12f3_0_CAS-V-F	contig_1_184	389	496	1.7000000000000002e-22	77.2	211579	212745	contig_1	184	0.5886889460154242	0.5040322580645161	-1
Cas12f7_0_CAS-V-F	contig_1_184	389	566	2.4e-11	40.3	211579	212745	contig_1	184	0.5295629820051414	0.3621908127208481	-1
Cas12m_0_V-M	contig_1_184	389	577	8.2e-09	31.6	211579	212745	contig_1	184	0.455012853470437	0.3344887348353553	-1
Csa5gr11_2_CAS-I-A	contig_1_184	389	101	0.006	14.2	211579	212745	contig_1	184	0.15167095115681234	0.5544554455445545	-1
TnpB_0_Competitive	contig_1_184	389	400	4.4e-41	138.3	211579	212745	contig_1	184	0.6401028277634961	0.61	-1
TnpB_1_Competitive	contig_1_184	389	409	1.3000000000000002e-44	149.8	211579	212745	contig_1	184	0.5475578406169666	0.5061124694376528	-1
Cas3HD_0_CAS-I	contig_1_193	697	203	0.057	10.4	223663	225753	contig_1	193	0.2568149210903874	0.541871921182266	-1
Csm3gr7_12_CAS-III-A-III-D	contig_1_221	151	199	0.05	11.1	266361	266813	contig_1	221	0.6622516556291391	0.3969849246231156	1
Csm5_0_IIIA	contig_1_258	1021	364	0.077	9.6	310806	313868	contig_1	258	0.12536728697355534	0.25274725274725274	-1
Csm2gr11_1_CAS-III-A	contig_1_273	158	192	0.016	12.3	330073	330546	contig_1	273	0.6392405063291139	0.53125	-1
AbiEii_0_CAS-III	contig_1_304	226	284	1.5e-05	21.9	367302	367979	contig_1	304	0.3805309734513274	0.3028169014084507	-1
Cas3_0_CAS-I	contig_1_322	474	353	8e-08	28.9	387767	389188	contig_1	322	0.6582278481012658	0.8923512747875354	1
Cas3_0_I	contig_1_322	474	358	5.1e-07	26.3	387767	389188	contig_1	322	0.6476793248945147	0.8770949720670391	1
Cas3_0_ID	contig_1_322	474	357	0.0044	13.3	387767	389188	contig_1	322	0.2869198312236287	0.35294117647058826	1
Cas3_1_CAS-I	contig_1_322	474	745	0.00044	15.8	387767	389188	contig_1	322	0.4641350210970464	0.2993288590604027	1
Cas3_1_CAS-I-D	contig_1_322	474	353	0.002	14.4	387767	389188	contig_1	322	0.2848101265822785	0.35410764872521244	1
Cas3_2_CAS-I	contig_1_322	474	967	2e-06	23.3	387767	389188	contig_1	322	0.4620253164556962	0.21509824198552224	1
Csf4_0_IVA	contig_1_322	474	666	4.9e-06	22.5	387767	389188	contig_1	322	0.35654008438818563	0.2552552552552553	1
Cse2gr11_2_CAS-I-E	contig_1_325	240	227	2.8	4.9	392843	393562	contig_1	325	0.2833333333333333	0.2907488986784141	1
AbiEii_0_CAS-III	contig_1_368	244	284	0.00085	16.1	434645	435376	contig_1	368	0.5409836065573771	0.4612676056338028	-1
Csm2gr11_1_CAS-III-A	contig_1_391	354	192	0.00029	18.0	462045	463106	contig_1	391	0.3135593220338983	0.4895833333333333	-1
AbiEii_0_CAS-III	contig_1_396	327	284	1.3e-05	22.1	466100	467080	contig_1	396	0.2018348623853211	0.22535211267605634	-1
HTH_0_CAS-III-A	contig_1_396	327	364	0.0014	15.0	466100	467080	contig_1	396	0.24770642201834864	0.21703296703296704	-1
CasR_0_CAS-I-II-III-IV-V-VI	contig_1_402	124	198	0.013	12.3	473880	474251	contig_1	402	0.4274193548387097	0.2222222222222222	1
CasR_1_CAS-I-II-III-IV-V-VI	contig_1_402	124	218	0.00034	17.0	473880	474251	contig_1	402	0.5887096774193549	0.24311926605504589	1
Cas3_0_ID	contig_1_403	240	357	0.00086	15.6	474257	474976	contig_1	403	0.22916666666666666	0.1568627450980392	1
Cas12j_0_V-J	contig_1_464	200	758	0.0082	11.2	547160	547759	contig_1	464	0.61	0.16490765171503957	-1
CorA_1_CAS-III-B	contig_1_464	200	125	0.0021	15.2	547160	547759	contig_1	464	0.32	0.52	-1
TnpB_0_Competitive	contig_1_468	176	400	2.1e-06	24.1	550456	550983	contig_1	468	0.5340909090909091	0.2325	-1
Cas2_6_CAS-I-II-III-IV-V-VI	contig_1_498	346	90	0.022	12.4	586574	587611	contig_1	498	0.2138728323699422	0.6666666666666666	1
AbiEii_0_CAS-III	contig_1_516	250	284	0.0002	18.2	605917	606666	contig_1	516	0.344	0.30985915492957744	1
Cas8a1_0_IA	contig_1_541	573	152	0.011	13.3	635904	637622	contig_1	541	0.2094240837696335	0.5657894736842105	-1
Cas8b3_1_CAS-I-B	contig_1_541	573	152	0.0091	13.4	635904	637622	contig_1	541	0.20767888307155322	0.5592105263157895	-1
Cas3_0_CAS-I	contig_1_543	547	353	8.6e-12	42.0	638490	640130	contig_1	543	0.37842778793418647	0.5949008498583569	-1
Cas3_0_I	contig_1_543	547	358	9.5e-11	38.5	638490	640130	contig_1	543	0.473491773308958	0.7374301675977654	-1
Cas3_1_CAS-I	contig_1_543	547	745	3.6e-09	32.7	638490	640130	contig_1	543	0.37842778793418647	0.2953020134228188	-1
Cas3_2_CAS-I	contig_1_543	547	967	5.3e-07	25.2	638490	640130	contig_1	543	0.4753199268738574	0.26163391933815927	-1
Csf4_0_IVA	contig_1_543	547	666	0.0014	14.4	638490	640130	contig_1	543	0.08043875685557587	0.06156156156156156	-1
Cas9_0_II-C2	contig_1_549	435	967	6.6e-14	48.2	644453	645757	contig_1	549	0.30114942528735633	0.13029989658738367	1
Cas9_0_II	contig_1_549	435	830	0.00025	16.7	644453	645757	contig_1	549	0.19080459770114944	0.10843373493975904	1
Cas9_0_II-D	contig_1_549	435	853	2.4e-27	92.9	644453	645757	contig_1	549	0.38620689655172413	0.21219226260257915	1
Cas3_0_CAS-I	contig_1_564	1178	353	9.1e-12	41.9	661520	665053	contig_1	564	0.20118845500848898	0.6940509915014165	-1
Cas3_0_I	contig_1_564	1178	358	2.3e-10	37.2	661520	665053	contig_1	564	0.1833616298811545	0.6256983240223464	-1
Cas3_2_CAS-I	contig_1_564	1178	967	0.0016	13.7	661520	665053	contig_1	564	0.059422750424448216	0.06825232678386763	-1
Cas3_1_I	contig_1_569	525	178	0.001	16.3	668865	670439	contig_1	569	0.21904761904761905	0.7921348314606742	1
Cas3HD_0_CAS-I	contig_1_569	525	203	1.6e-06	25.3	668865	670439	contig_1	569	0.2742857142857143	0.7192118226600985	1
htpX_0_CAS-III-B	contig_1_580	300	343	3.5e-27	92.6	678392	679291	contig_1	580	0.7166666666666667	0.6559766763848397	1
Csx3_2_CAS-I-III	contig_1_683	450	277	0.006	12.9	782655	784004	contig_1	683	0.07777777777777778	0.12274368231046931	1
Cas2_0_CAS-I-II-III-IV-V-VI	contig_1_693	455	90	0.015	12.9	791846	793210	contig_1	693	0.2725274725274725	0.7222222222222222	-1
Cas12f1_1_CAS-V-F	contig_1_705	455	557	1.4e-12	44.2	805233	806597	contig_1	705	0.5428571428571428	0.4362657091561939	1
Cas12f1_2_CAS-V-F	contig_1_705	455	429	4.1e-26	89.1	805233	806597	contig_1	705	0.734065934065934	0.8041958041958042	1
Cas12f2_0_CAS-V-F	contig_1_705	455	517	4.1e-33	111.9	805233	806597	contig_1	705	0.7142857142857143	0.5841392649903289	1
Cas12f2_1_CAS-V-F	contig_1_705	455	422	4.7e-46	154.8	805233	806597	contig_1	705	0.8901098901098901	0.9549763033175356	1
Cas12f2_2_CAS-V-F	contig_1_705	455	493	8e-43	143.9	805233	806597	contig_1	705	0.7142857142857143	0.6328600405679513	1
Cas12f3_0_CAS-V-F	contig_1_705	455	496	1.1e-38	130.6	805233	806597	contig_1	705	0.5428571428571428	0.5141129032258065	1
Cas12f7_0_CAS-V-F	contig_1_705	455	566	6.2e-14	48.8	805233	806597	contig_1	705	0.42637362637362636	0.3286219081272085	1
Cas12j_0_V-J	contig_1_705	455	758	6e-08	28.2	805233	806597	contig_1	705	0.15824175824175823	0.08839050131926121	1
Cas12m_0_V-M	contig_1_705	455	577	2.8e-09	33.1	805233	806597	contig_1	705	0.3142857142857143	0.2339688041594454	1
TnpB_0_Competitive	contig_1_705	455	400	1.4999999999999999e-40	136.5	805233	806597	contig_1	705	0.865934065934066	0.92	1
TnpB_1_Competitive	contig_1_705	455	409	7.900000000000001e-44	147.2	805233	806597	contig_1	705	0.8967032967032967	0.8850855745721271	1
TPR_0_CAS-III-B	contig_1_707	524	488	5.1e-05	19.3	807928	809499	contig_1	707	0.2748091603053435	0.18442622950819673	1
Cas7f_2_CAS-I-F	contig_1_713	127	326	0.0019	14.8	815069	815449	contig_1	713	0.5826771653543307	0.23006134969325154	1
