	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1	2	100	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2	560	751	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_3	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	3	693	1745	1	C	K02338	DNA polymerase III subunit beta [EC:2.7.7.7]								DNA polymerase III beta subunit, C-terminal domain [PF02768.18]; DNA polymerase III beta subunit, central domain [PF02767.19]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_4	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	4	1785	4235	1	C	K02470	DNA gyrase subunit B [EC:5.6.2.2]								DNA gyrase B [PF00204.28]; DNA gyrase B subunit, carboxyl terminus [PF00986.24]; Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; Toprim domain [PF01751.25]; DNA gyrase B subunit insert domain [PF18053.4]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_5	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	5	4266	6764	1	C	K02469	DNA gyrase subunit A [EC:5.6.2.2]								DNA gyrase/topoisomerase IV, subunit A [PF00521.23]; DNA gyrase C-terminal domain, beta-propeller [PF03989.16]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_6	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	6	6776	8641	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_7	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	7	8655	9311	1	C	K00616	transaldolase [EC:2.2.1.2]								Transaldolase/Fructose-6-phosphate aldolase [PF00923.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_8	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	8	9333	10172	1	C	K01519	XTP/dITP diphosphohydrolase [EC:3.6.1.66]								Ham1 family [PF01725.19]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_9	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	9	10182	11675	-1	C	K03641	TolB protein	MER0174835	S09X	MER0174835 - family S9 non-peptidase homologues (Acidobacterium capsulatum) [S09.UNW]#S09X#{peptidase unit: 302-491}~source ACO33706~	False	0.305	62.0	1.587e-08	Domain of unknown function (DUF5050) [PF16472.8]; Dipeptidyl peptidase IV (DPP IV) N-terminal region [PF00930.24]; Eukaryotic translation initiation factor eIF2A [PF08662.14]; WD40-like Beta Propeller Repeat [PF07676.15]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_10	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	10	11687	12895	-1	D										TonB C terminal [PF13103.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_11	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	11	12892	13338	-1	C	K03559	biopolymer transport protein ExbD								Biopolymer transport protein ExbD/TolR [PF02472.19]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_12	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	12	13354	14070	-1	C	K03561	biopolymer transport protein ExbB								MotA/TolQ/ExbB proton channel family [PF01618.19]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_13	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	13	14095	14808	-1	C	K00945	CMP/dCMP kinase [EC:2.7.4.25]								Cytidylate kinase [PF02224.21]; Cytidylate kinase-like family [PF13189.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_14	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	14	14818	15888	-1	C	K01962	acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]								Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit [PF03255.17]; Carboxyl transferase domain [PF01039.25]; Malonate decarboxylase gamma subunit (MdcE) [PF06833.14]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_15	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	15	16013	17176	1	D										Citrate synthase, C-terminal domain [PF00285.24]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_16	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	16	17192	18685	1	C	K02527	3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]								3-Deoxy-D-manno-octulosonic-acid transferase (kdotransferase) [PF04413.19]	GT30	GT30 CMP-beta-KDO: alpha-3-deoxy-D-manno-octulosonic-acid (KDO) transferase (EC 2.4.99.-).	2.4.99.-	GT30.hmm	0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_17	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	17	18740	19468	1	D										Ribonuclease E/G family [PF10150.12]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_18	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	18	19443	20294	1	D										Ribonuclease E/G family [PF10150.12]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_19	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	19	20307	20615	-1	C	K05527	BolA family transcriptional regulator, general stress-responsive regulator								BolA-like protein [PF01722.21]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_20	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	20	20871	21845	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_21	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	21	21860	22312	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_22	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	22	22340	23527	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_23	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	23	23894	26074	-1	D										SNF2-related domain [PF00176.26]; Helicase conserved C-terminal domain [PF00271.34]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_24	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	24	26289	26915	1	D										Fumarylacetoacetate (FAA) hydrolase family [PF01557.21]					0
