############################################
contig_1 ( Unknown ) 
--------------------------------------------
### System: CAS-TypeIIU (UserReplicon_CAS-TypeIIU_1)
#SequenceID	Cas-type/subtype	Gene status	System	Type	Begin	End	Strand	Other_information
contig_1_1642	cas9_TypeII	mandatory	CAS-TypeIIU	CDS	1876713	1880057	+	ID=1_1642;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.291;conf=99.99;score=435.11;cscore=422.84;sscore=12.27;rscore=10.32;uscore=-1.17;tscore=3.77;
contig_1_1643	cas2_TypeI-II-III	accessory	CAS	CDS	1880683	1881024	-	ID=1_1643;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.351;conf=99.51;score=23.10;cscore=22.22;sscore=0.88;rscore=-7.94;uscore=4.14;tscore=3.77;
contig_1_1644	cas1_TypeII	accessory	CAS-TypeIIU	CDS	1881058	1881951	-	ID=1_1644;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.343;conf=100.00;score=88.62;cscore=89.68;sscore=-1.06;rscore=-7.94;uscore=1.90;tscore=3.77;
####Summary system CAS-TypeIIU:begin=1876713;end=1881951:{sequenceID=contig_1} : [cas9_TypeII (1876713,1880057,+); cas2_TypeI-II-III (1880683,1881024,-); cas1_TypeII (1881058,1881951,-)]

### System: CAS-TypeIF (UserReplicon_CAS-TypeIF_1)
#SequenceID	Cas-type/subtype	Gene status	System	Type	Begin	End	Strand	Other_information
contig_1_2038	cas3-cas2_TypeIF	mandatory	CAS-TypeIF	CDS	2328483	2331182	-	ID=1_2038;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.319;conf=99.99;score=362.15;cscore=345.74;sscore=16.41;rscore=10.32;uscore=1.25;tscore=3.77;
contig_1_2039	cas1_TypeIF	mandatory	CAS-TypeIF	CDS	2331201	2332148	-	ID=1_2039;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.323;conf=100.00;score=147.20;cscore=136.97;sscore=10.24;rscore=3.88;uscore=3.24;tscore=3.77;
contig_1_2041	cas6_TypeIF	mandatory	CAS-TypeIF	CDS	2333874	2334473	-	ID=1_2041;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.357;conf=100.00;score=94.47;cscore=80.59;sscore=13.88;rscore=10.32;uscore=-1.15;tscore=3.77;
contig_1_2042	csy3_TypeIF	mandatory	CAS-TypeIF	CDS	2334505	2335632	-	ID=1_2042;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.343;conf=100.00;score=174.22;cscore=156.96;sscore=17.25;rscore=10.32;uscore=1.92;tscore=3.77;
####Summary system CAS-TypeIF:begin=2328483;end=2335632:{sequenceID=contig_1} : [cas3-cas2_TypeIF (2328483,2331182,-); cas1_TypeIF (2331201,2332148,-); cas6_TypeIF (2333874,2334473,-); csy3_TypeIF (2334505,2335632,-)]


