Alignment	Theta	Pi	TajimasD	PiN	NumN	PiS	NumS
Spiro2_01735.aligned.fas.oneline	0.000718390804598	0.000718390804598	nan	1.0	1095.0	0.0	297.0
Spiro2_11175.aligned.fas.oneline	0.00582605076987	0.00582605076987	nan	8.0	1957.0	6.0	446.0
Spiro2_00535.aligned.fas.oneline	0.00236406619385	0.00236406619385	nan	0.0	337.333333333	1.0	85.6666666667
Spiro2_07565.aligned.fas.oneline	0.0	0.0	None	0.0	328.333333333	0.0	94.6666666667
Spiro2_11000.aligned.fas.oneline	0.00964187327824	0.00964187327824	nan	5.0	1153.66666667	9.0	298.333333333
Spiro2_04410.aligned.fas.oneline	0.0183333333333	0.0183333333333	nan	4.0	952.666666667	18.0	247.333333333
Spiro2_06160.aligned.fas.oneline	0.00174520069808	0.00174520069808	nan	0.0	447.666666667	1.0	125.333333333
Spiro2_05350.aligned.fas.oneline	0.0	0.0	None	0.0	394.666666667	0.0	94.3333333333
Spiro2_11190.aligned.fas.oneline	0.00134408602151	0.00134408602151	nan	0.0	598.333333333	1.0	145.666666667
Spiro2_00525.aligned.fas.oneline	0.0	0.0	None	0.0	273.666666667	0.0	65.3333333333
Spiro2_10470.aligned.fas.oneline	0.00107874865156	0.00107874865156	nan	1.0	745.666666667	0.0	181.333333333
Spiro2_12380.aligned.fas.oneline	0.0	0.0	None	0.0	612.0	0.0	162.0
Spiro2_05610.aligned.fas.oneline	0.00188323917137	0.00188323917137	nan	0.0	823.333333333	2.0	238.666666667
Spiro2_07995.aligned.fas.oneline	0.00157977883096	0.00157977883096	nan	1.0	985.0	1.0	281.0
Spiro2_05275.aligned.fas.oneline	0.00447427293065	0.00447427293065	nan	1.0	691.5	3.0	202.5
Spiro2_02035.aligned.fas.oneline	0.00435729847495	0.00435729847495	nan	2.0	353.5	0.0	105.5
Spiro2_05085.aligned.fas.oneline	0.00432098765432	0.00432098765432	nan	2.0	1249.16666667	5.0	370.833333333
Spiro2_12675.aligned.fas.oneline	0.00199004975124	0.00199004975124	nan	0.0	791.0	2.0	214.0
Spiro2_09470.aligned.fas.oneline	0.00204498977505	0.00204498977505	nan	0.0	402.666666667	1.0	86.3333333333
Spiro2_00245.aligned.fas.oneline	0.00213675213675	0.00213675213675	nan	2.0	725.333333333	0.0	210.666666667
Spiro2_05935.aligned.fas.oneline	0.00243309002433	0.00243309002433	nan	0.0	337.333333333	1.0	73.6666666667
Spiro2_05400.aligned.fas.oneline	0.00581733566027	0.00581733566027	nan	1.0	1358.66666667	9.0	360.333333333
Spiro2_02740.aligned.fas.oneline	0.00423728813559	0.00423728813559	nan	2.0	565.5	1.0	142.5
Spiro2_02080.aligned.fas.oneline	0.0208728652751	0.0208728652751	nan	7.0	1222.16666667	26.0	358.833333333
Spiro2_04865.aligned.fas.oneline	0.0811965811966	0.0811965811966	nan	127.333333333	1521.83333333	24.6666666667	350.166666667
Spiro2_00290.aligned.fas.oneline	0.0	0.0	None	0.0	909.333333333	0.0	272.666666667
Spiro2_01930.aligned.fas.oneline	0.0015873015873	0.0015873015873	nan	1.0	508.166666667	0.0	121.833333333
Spiro2_08650.aligned.fas.oneline	0.00389105058366	0.00389105058366	nan	0.0	608.333333333	3.0	162.666666667
Spiro2_02955.aligned.fas.oneline	0.00215749730313	0.00215749730313	nan	1.0	738.0	1.0	189.0
Spiro2_05310.aligned.fas.oneline	0.0020202020202	0.0020202020202	nan	1.0	394.0	0.0	101.0
Spiro2_09065.aligned.fas.oneline	0.0	0.0	None	0.0	276.666666667	0.0	74.3333333333
Spiro2_10785.aligned.fas.oneline	0.0	0.0	None	0.0	374.333333333	0.0	99.6666666667
Spiro2_05370.aligned.fas.oneline	0.00153609831029	0.00153609831029	nan	1.0	998.0	1.0	304.0
Spiro2_10400.aligned.fas.oneline	0.00555555555556	0.00555555555556	nan	3.0	707.0	2.0	193.0
Spiro2_10090.aligned.fas.oneline	0.00717948717949	0.00717948717949	nan	2.5	767.5	4.5	207.5
Spiro2_11715.aligned.fas.oneline	0.0	0.0	None	0.0	504.333333333	0.0	140.666666667
Spiro2_10760.aligned.fas.oneline	0.0249042145594	0.0249042145594	nan	10.0	834.666666667	16.0	209.333333333
