locus_tag	ftype	length_bp	gene	EC_number	COG	product
BAMDCOFK_00001	CDS	192				hypothetical protein
BAMDCOFK_00002	CDS	1053	dnaN		COG0592	Beta sliding clamp
BAMDCOFK_00003	CDS	2451	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
BAMDCOFK_00004	CDS	2499	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
BAMDCOFK_00005	CDS	1866				hypothetical protein
BAMDCOFK_00006	CDS	657	tal	2.2.1.2	COG0176	Transaldolase
BAMDCOFK_00007	CDS	840		3.6.1.66		dITP/XTP pyrophosphatase
BAMDCOFK_00008	CDS	1494	tolB			Tol-Pal system protein TolB
BAMDCOFK_00009	CDS	1209				hypothetical protein
BAMDCOFK_00010	CDS	447	exbD_1		COG0848	Biopolymer transport protein ExbD
BAMDCOFK_00011	CDS	717	tolQ_1		COG0811	Tol-Pal system protein TolQ
BAMDCOFK_00012	CDS	714	cmk_1	2.7.4.25	COG0283	Cytidylate kinase
BAMDCOFK_00013	CDS	1071	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
BAMDCOFK_00014	CDS	1164	gltA_1	2.3.3.16	COG0372	Citrate synthase
BAMDCOFK_00015	CDS	1494				hypothetical protein
BAMDCOFK_00016	CDS	729	rng_1	3.1.26.-	COG1530	Ribonuclease G
BAMDCOFK_00017	CDS	852	rng_2	3.1.26.-	COG1530	Ribonuclease G
BAMDCOFK_00018	CDS	309	bolA		COG0271	DNA-binding transcriptional regulator BolA
BAMDCOFK_00019	tRNA	85				tRNA-Leu(tag)
BAMDCOFK_00020	CDS	975				hypothetical protein
BAMDCOFK_00021	CDS	453				hypothetical protein
BAMDCOFK_00022	CDS	1188				hypothetical protein
BAMDCOFK_00023	CDS	2181				hypothetical protein
BAMDCOFK_00024	CDS	627	ycgM		COG0179	putative protein YcgM
BAMDCOFK_00025	CDS	858			COG1073	putative protein
BAMDCOFK_00026	CDS	609	yvqK	2.5.1.17	COG2096	Corrinoid adenosyltransferase
BAMDCOFK_00027	CDS	927				hypothetical protein
BAMDCOFK_00028	CDS	1041	rfuC		COG4603	putative riboflavin import permease protein RfuC
BAMDCOFK_00029	CDS	1632	xylG	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
BAMDCOFK_00030	CDS	1044	tmpC_1		COG1744	Membrane lipoprotein TmpC
BAMDCOFK_00031	CDS	153				hypothetical protein
BAMDCOFK_00032	CDS	240				hypothetical protein
BAMDCOFK_00033	CDS	1092	tmpC_2		COG1744	Membrane lipoprotein TmpC
BAMDCOFK_00034	tRNA	77				tRNA-Arg(acg)
BAMDCOFK_00035	tRNA	91				tRNA-Ser(gct)
BAMDCOFK_00036	CDS	459	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
BAMDCOFK_00037	CDS	810	glmU_1		COG1207	Bifunctional protein GlmU
BAMDCOFK_00038	CDS	1851	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
BAMDCOFK_00039	CDS	375				hypothetical protein
BAMDCOFK_00040	CDS	627				hypothetical protein
BAMDCOFK_00041	CDS	474	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
BAMDCOFK_00042	CDS	2253				hypothetical protein
BAMDCOFK_00043	CDS	1332				hypothetical protein
BAMDCOFK_00044	CDS	903	parB		COG1475	putative chromosome-partitioning protein ParB
BAMDCOFK_00045	CDS	825				hypothetical protein
BAMDCOFK_00046	CDS	1002	atpF			ATP synthase subunit b
BAMDCOFK_00047	CDS	567	atpH_1		COG0712	ATP synthase subunit delta
BAMDCOFK_00048	CDS	1527	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
BAMDCOFK_00049	CDS	939	atpG		COG0224	ATP synthase gamma chain
BAMDCOFK_00050	CDS	1416	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
BAMDCOFK_00051	CDS	456	atpC		COG0355	ATP synthase epsilon chain
BAMDCOFK_00052	CDS	1431				hypothetical protein
BAMDCOFK_00053	CDS	963				hypothetical protein
BAMDCOFK_00054	CDS	1779	ftsZ			Cell division protein FtsZ
BAMDCOFK_00055	CDS	1308	ftsA		COG0849	Cell division protein FtsA
BAMDCOFK_00056	CDS	1101				hypothetical protein
BAMDCOFK_00057	CDS	1410	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
BAMDCOFK_00058	CDS	1185	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
BAMDCOFK_00059	CDS	1599	murD	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
BAMDCOFK_00060	CDS	1116	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
BAMDCOFK_00061	CDS	1686	murE	6.3.2.7		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
BAMDCOFK_00062	CDS	1845	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
BAMDCOFK_00063	CDS	300				hypothetical protein
BAMDCOFK_00064	CDS	1074	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
BAMDCOFK_00065	CDS	726				hypothetical protein
BAMDCOFK_00066	CDS	1002	cugP_1	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
BAMDCOFK_00067	CDS	1098				hypothetical protein
BAMDCOFK_00068	CDS	2412	uvrA_1			UvrABC system protein A
BAMDCOFK_00069	CDS	1107				hypothetical protein
BAMDCOFK_00070	CDS	501				hypothetical protein
BAMDCOFK_00071	CDS	1089				hypothetical protein
BAMDCOFK_00072	CDS	612	coaE	2.7.1.24		Dephospho-CoA kinase
BAMDCOFK_00073	CDS	975				hypothetical protein
BAMDCOFK_00074	CDS	963	era		COG1159	GTPase Era
BAMDCOFK_00075	CDS	828	rnc	3.1.26.3	COG0571	Ribonuclease 3
BAMDCOFK_00076	CDS	1095	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
BAMDCOFK_00077	CDS	483				hypothetical protein
BAMDCOFK_00078	CDS	1839				hypothetical protein
BAMDCOFK_00079	CDS	939	rbn	3.1.26.11		Ribonuclease BN
BAMDCOFK_00080	CDS	1932	dinG	3.1.-.-		3'-5' exonuclease DinG
BAMDCOFK_00081	CDS	468				hypothetical protein
BAMDCOFK_00082	CDS	1056	surA	5.2.1.8		Chaperone SurA
BAMDCOFK_00083	CDS	543				hypothetical protein
BAMDCOFK_00084	CDS	162				hypothetical protein
BAMDCOFK_00085	CDS	1677	yveA_1		COG0531	Aspartate-proton symporter
BAMDCOFK_00086	CDS	978	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
BAMDCOFK_00087	CDS	1233	icd	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
BAMDCOFK_00088	CDS	1443				hypothetical protein
BAMDCOFK_00089	CDS	1134				hypothetical protein
BAMDCOFK_00090	CDS	522				hypothetical protein
BAMDCOFK_00091	CDS	798				hypothetical protein
BAMDCOFK_00092	CDS	1026				hypothetical protein
BAMDCOFK_00093	CDS	195				hypothetical protein
BAMDCOFK_00094	CDS	996				hypothetical protein
BAMDCOFK_00095	CDS	1011				hypothetical protein
BAMDCOFK_00096	CDS	981				hypothetical protein
BAMDCOFK_00097	CDS	2307	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
BAMDCOFK_00098	CDS	879				hypothetical protein
BAMDCOFK_00099	CDS	1020				hypothetical protein
BAMDCOFK_00100	CDS	2172	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
BAMDCOFK_00101	CDS	1404	atoC_1		COG2204	Regulatory protein AtoC
BAMDCOFK_00102	CDS	1131				hypothetical protein
BAMDCOFK_00103	CDS	402				hypothetical protein
BAMDCOFK_00104	CDS	471				hypothetical protein
BAMDCOFK_00105	CDS	342				hypothetical protein
BAMDCOFK_00106	CDS	411	tatB			Sec-independent protein translocase protein TatB
BAMDCOFK_00107	CDS	426				hypothetical protein
BAMDCOFK_00108	CDS	327				hypothetical protein
BAMDCOFK_00109	CDS	945	dnaJ_1		COG0484	Chaperone protein DnaJ
BAMDCOFK_00110	CDS	303				hypothetical protein
BAMDCOFK_00111	CDS	1752				hypothetical protein
BAMDCOFK_00112	CDS	384	cheY_1		COG0784	Chemotaxis protein CheY 
BAMDCOFK_00113	CDS	324	gdx		COG2076	Guanidinium exporter
BAMDCOFK_00114	CDS	1770	fadE	1.3.99.-	COG1960	putative acyl-CoA dehydrogenase
BAMDCOFK_00115	CDS	1143	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
BAMDCOFK_00116	CDS	504	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
BAMDCOFK_00117	CDS	453	nusB			Transcription antitermination protein NusB
BAMDCOFK_00118	CDS	738				hypothetical protein
BAMDCOFK_00119	CDS	390				hypothetical protein
